Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail,A1-PP7,A1-PP30
HD,,,2700,200,2650,3869,10,2300,100,2650,25,2650,2255,1,2100,11,1598.290039,50,4000,50,,,0,2500,2707,2800,5717,200,2000,200,1598.290039,30,2800,30,,,0,2790,117,2790,2399,100,2500,100,2700,2747.888276
HE,75,,110,2992,110,54200,2000,104,12520,106,1166,106,62683,11,105,8932,200,278,350,278,100,125,100,88.5,257,88.5,278359,11768,85,131868,135,790,65,5170,,,0,127,202,127,96134,20,100,10240,108.0496175,106.3513403
HE3,,,680,310,700,7290,1000,300,18748,461,500,885,10825,2986,461,8331,400,,,0,,,0,840,170,840,13500,12,500,15062,460,20,942,20,1000,220,1000,277,100,800,2090,1000,276,4739,589.6463956,778.3435539
HER,,,2630,30,2620,11380,920,2100,2513,2400,100,2490,5462,500,2300,2511,2000,,,0,,,0,2340,40,2340,24334,5,2200,3955,3250,350,2400,350,200,1750,200,1876.77002,40,2400,15336,300,1910,5699,2814.375447,2884.555646
HEX,,,2000,13444,2000,20668,10,1000,10,2000,7156,2000,7199,10,1000,10,41.13999939,,,0,,,0,2000,3487,2000,3487,10,1000,10,41.13999939,,,0,,,0,41.13999939,1771,2000,1771,10,1000,40,2000,2000
HHP,,,6000,,,0,5,5000,5,3000,,,0,,,0,3363.27002,,,0,,,0,250,38,5000,38,,,0,3363.27002,,,0,,,0,3363.27002,,,0,,,0,6000,6000
HMS,,,2074.409912,251,2080,3118,20,1860,1100,1990,93,2000,5142,298,1760,1444,1950,1158,1950,1753,,,0,2160,336,2160,4831,400,1700,3317,2000,1,2000,531,,,0,2130,259,2130,9412,50,1750,1810,2081.685059,2126.515589
HNZ,,,75000,,,0,,,0,99120.10156,,,0,,,0,99120.10156,,,0,,,0,99120.10156,,,0,,,0,99120.10156,,,0,,,0,99120.10156,,,0,,,0,75000,75000
HOG,,,7400,10,7400,15,30,6010,120,8000,85,8000,99,5,4500,5,3903.23999,,,0,,,0,6500,10,6500,10,,,0,3903.23999,10,6500,10,,,0,10000,38,10000,38,,,0,7400,7399.562623
HOP,,,4000,496,4000,496,10,2600,1385,2867.280029,100,3160,161,900,2260,3757,2200,80,2400,80,,,0,3370,81,3350,1439,500,2800,4028,819.7399902,,,0,,,0,3106.030029,126,3430,2491,500,2710,2166,2732.395777,2838.518674
HPC,,,25000,10,28000,30,10,23000,10,28000,20,28000,84,,,0,13081.34961,,,0,,,0,28000,1,28000,21,20,25000,61,13081.34961,2,28000,2,,,0,24900,,,0,,,0,25000,24227.08333
HPR,,,800000,3,800000,7,,,0,800000,3,800000,6,,,0,1750000,,,0,,,0,800000,2,790000,10,,,0,728695.4375,,,0,,,0,800000,1,800000,5,,,0,800000,800000
HSE,,,15000,27,15000,763,1,13100,744,15400,100,15300,140,20,13500,118,10000,400,12000,404,,,0,14400,63,14400,7573,66,11900,574,11000,5,11000,25,30,5000,30,12000,243,12000,737,24,11300,390,15093.44302,15302.27607
HSS,,,3390,247,3390,3401,70,1910,698,2380,216,2380,2607,181,1840,236,2000,100,2100,1100,,,0,2440,23,2440,4050,200,2200,1658,2000,20,2400,290,,,0,2640,35,2640,3122,20,2000,434,3391.97,2666.392051
HTE,,,3500000,1,3500000,1,,,0,3250000,3,3500000,3,,,0,1697055.625,,,0,,,0,3700000,1,2980000,2,,,0,1697055.625,,,0,,,0,4000000,,,0,,,0,3500000,3500000
HYR,,,1700000,1,1750000,4,,,0,1750000,3,1750000,6,,,0,1389100.25,,,0,,,0,1750000,1,1750000,6,,,0,1389100.25,,,0,,,0,1750000,1,1750000,6,1,1,1,1723958.33,1723750
I,,,1430,278,1430,7964,1733,858,1809,800,11,1080,676,43,800,3839,1500,,,0,,,0,941.9299927,25,1410,5414,300,969,3646,300,20,1110,20,,,0,600,150,965,1608,19,600,984,1285.635399,1092.969622
IDC,11000,,11000,990,11100,2245,100,11000,100,11000,499,11100,532,100,11000,100,10313.05957,,,0,,,0,11100,100,12100,434,1842,11100,1942,10313.05957,10,15400,10,,,0,11000,26,11100,26,100,11000,100,11026.62707,11009.5575
IMM,,,110000,1,110000,10,10,100000,10,68600,,,0,,,0,68180.15625,,,0,,,0,120000,1,120000,3,1,110000,9,68180.15625,,,0,,,0,68180.15625,,,0,,,0,110000,110000
IND,,,5500,2,5500,820,100,4310,500,5700,24,5600,204,150,4000,613,1977.280029,,,0,,,0,5090,181,5090,881,51,4260,616,1977.280029,,,0,,,0,4450,14,5450,126,20,2300,292,5367.821186,4820.569482
INS,,,185,30398,185,295217,500,170,204807,194,43235,194,95146,10,175,134768,150,4000,160,23388,,,0,200,1663,200,71783,6000,170,129716,170,4050,170,4229,,,0,166,6000,192,70336,350,165,161348,179.3655355,178.5245548
JUI,,,1,1,98000,2,,,0,1,29,100000,309,,,0,1098.26001,280,100000,280,,,0,1,1,99000,1,1,1,1,1098.26001,,,0,,,0,30000,119,30000,122,,,0,1,1
KOM,,,868,3,868,19127,95,820,8347,871.3099976,486,872,20015,565,787,8221,999,292,999,14279,500,750,500,810,2269,810,45885,200,756,17508,1000,4979,1000,9979,50,600,50,778,36,778,32276,20,681,16366,866.2008826,840.8698192
KV,,,27000,50,28500,420,200,27000,785,29800,100,34000,100,100,23400,246,2000,,,0,,,0,31400,83,31400,923,42,27100,503,13533.45996,10,34000,10,,,0,35900,84,31900,308,50,25100,422,28013.72429,30587.59202
LBH,,,5890,80,5890,5174,30,4810,3318,5660,48,5650,1614,2,5020,728,4500,,,0,,,0,5640,2,5640,2194,88,4800,1344,3400,200,6500,300,30,4900,30,6540,122,6540,1331,50,4400,560,5694.177997,6078.779637
LC,,,5000,131,5000,1301,99,3010,99,4156.660156,6,4890,2158,100,3000,100,3176.939941,24,9000,64,,,0,4970,72,4870,5505,100,4310,355,3176.939941,10,5000,95,,,0,5310,82,5310,3649,100,4610,122,4153.763922,4903.162896
LCB,,,620000,1,689000,4,1,500000,7,849000,1,730000,4,1,450000,1,330133.8438,,,0,,,0,670000,1,739000,9,1,300000,2,330133.8438,,,0,,,0,800000,1,800000,1,1,741000,1,668125,670245.3112
